type,path,text
real,data/reference_speaker/Salgi Arnehar Road 16.wav,
real,data/reference_speaker/Salgi Arnehar Road 17.wav,
real,data/reference_speaker/Salgi Arnehar Road 18.wav,
real,data/reference_speaker/Salgi Arnehar Road 22.wav,
real,data/reference_speaker/Salgi Arnehar Road 23.wav,
real,data/reference_speaker/Salgi Arnehar Road 23Salgi Arnehar Road 26.wav,
real,data/reference_speaker/Salgi Arnehar Road 24.wav,
real,data/reference_speaker/Salgi Arnehar Road 25.wav,
real,data/reference_speaker/Salgi Arnehar Road 27.wav,
real,data/reference_speaker/Salgi Arnehar Road 29.wav,
real,data/reference_speaker/Salgi Arnehar Road 30.wav,
real,data/reference_speaker/Salgi Arnehar Road 31.wav,
real,data/reference_speaker/Salgi Arnehar Road 32.wav,
real,data/reference_speaker/Salgi Arnehar Road 33.wav,
real,data/reference_speaker/Salgi Arnehar Road 34.wav,
real,data/reference_speaker/Salgi Arnehar Road 35.wav,
real,data/reference_speaker/Salgi Arnehar Road 36.wav,
real,data/reference_speaker/Salgi Arnehar Road 37.wav,
real,data/reference_speaker/Salgi Arnehar Road 38.wav,
real,data/reference_speaker/Salgi Arnehar Road 39.wav,
real,data/reference_speaker/Salgi Arnehar Road 40.wav,
real,data/reference_speaker/Salgi Arnehar Road 41.wav,
real,data/reference_speaker/Salgi Arnehar Road 42.wav,
real,data/reference_speaker/Salgi Arnehar Road 43.wav,
real,data/reference_speaker/Salgi Arnehar Road 44.wav,
real,data/reference_speaker/Salgi Arnehar Road 45.wav,
real,data/reference_speaker/Salgi Arnehar Road 46.wav,
real,data/reference_speaker/Salgi Arnehar Road 47.wav,
real,data/reference_speaker/Salgi Arnehar Road 48.wav,
real,data/reference_speaker/speaker1.wav,
real,data/reference_speaker/speaker10.wav,
real,data/reference_speaker/speaker11.wav,
real,data/reference_speaker/speaker2.wav,
real,data/reference_speaker/speaker3.wav,
real,data/reference_speaker/speaker4.wav,
real,data/reference_speaker/speaker5.wav,
real,data/reference_speaker/speaker6.wav,
real,data/reference_speaker/speaker7.wav,
real,data/reference_speaker/speaker8.wav,
real,data/reference_speaker/speaker9.wav,
cloned,data/cloned_audio/clone_0000.wav,
cloned,data/cloned_audio/clone_0001.wav,
cloned,data/cloned_audio/clone_0002.wav,
cloned,data/cloned_audio/clone_0003.wav,
cloned,data/cloned_audio/clone_0004.wav,
cloned,data/cloned_audio/clone_0005.wav,
cloned,data/cloned_audio/clone_0006.wav,
cloned,data/cloned_audio/clone_0007.wav,
cloned,data/cloned_audio/clone_0008.wav,
cloned,data/cloned_audio/clone_0009.wav,
cloned,data/cloned_audio/clone_0010.wav,
cloned,data/cloned_audio/clone_0011.wav,
cloned,data/cloned_audio/clone_0012.wav,
cloned,data/cloned_audio/clone_0013.wav,
cloned,data/cloned_audio/clone_0014.wav,
cloned,data/cloned_audio/clone_0015.wav,
cloned,data/cloned_audio/clone_0016.wav,
cloned,data/cloned_audio/clone_0017.wav,
cloned,data/cloned_audio/clone_0018.wav,
cloned,data/cloned_audio/clone_0019.wav,
cloned,data/cloned_audio/clone_0020.wav,
cloned,data/cloned_audio/clone_0021.wav,
cloned,data/cloned_audio/clone_0022.wav,
cloned,data/cloned_audio/clone_0023.wav,
cloned,data/cloned_audio/clone_0024.wav,
cloned,data/cloned_audio/clone_0025.wav,
cloned,data/cloned_audio/clone_0026.wav,
cloned,data/cloned_audio/clone_0027.wav,
cloned,data/cloned_audio/clone_0028.wav,
cloned,data/cloned_audio/clone_0029.wav,
cloned,data/cloned_audio/clone_0030.wav,
cloned,data/cloned_audio/clone_0031.wav,
cloned,data/cloned_audio/clone_0032.wav,
cloned,data/cloned_audio/clone_0033.wav,
cloned,data/cloned_audio/clone_0034.wav,
cloned,data/cloned_audio/clone_0035.wav,
cloned,data/cloned_audio/clone_0036.wav,
cloned,data/cloned_audio/clone_0037.wav,
cloned,data/cloned_audio/clone_0038.wav,
cloned,data/cloned_audio/clone_0039.wav,
cloned,data/cloned_audio/clone_0040.wav,
cloned,data/cloned_audio/clone_0041.wav,
cloned,data/cloned_audio/clone_0042.wav,
cloned,data/cloned_audio/clone_0043.wav,
cloned,data/cloned_audio/clone_0044.wav,
cloned,data/cloned_audio/clone_0045.wav,
cloned,data/cloned_audio/clone_0046.wav,
cloned,data/cloned_audio/clone_0047.wav,
cloned,data/cloned_audio/clone_0048.wav,
cloned,data/cloned_audio/clone_0049.wav,
